Her,243.21,52.94,4,92Xi  Her
Her,215.84,53.21,3,40Zet Her
Her,222.33,53.47,5,58Eps Her
Her,221.95,56.13,5,59    Her
Her,223.6,58.7,3,
Her,226.05,59.79,4,67Pi  Her
Her,226.97,60.31,4,69    Her
Her,229.39,60.36,3.7,75Rho Her
Her,242.55,60.93,4,91The Her
Her,233.87,69.51,4,85Iot Her
Her,224.51,69.23,6,74    Her
Her,226.49,71.44,6,77    Her
Her,231.45,71.98,6,82    Her
Her,212.59,60.54,3.7,44Eta Her
Her,207.07,63.33,4,35Sig Her
Her,198.11,65.99,3.7,22Tau Her
Her,195.39,63.93,4,11Phi Her
Her,191.97,64.49,4,6Ups Her
Her,191.85,60.06,4,1Chi Her
Her,186.29,57.21,4,52Nu 1Boo
Her,215.54,35.41,5,24Ome Her
,,,,
Lyr,259.26,61.84,1,3Alp Lyr
Lyr,262.84,62.6,3.7,4Eps1Lyr
Lyr,262.29,60.56,3.7,6Zet1Lyr
Lyr,265.91,59.54,4,12Del2Lyr
Lyr,274.37,60.89,4,20Eta Lyr
Lyr,274.82,59.78,4,21The Lyr
Lyr,263.09,56.22,3,10Bet Lyr
Lyr,262.8,55.43,4.3,9Nu 2Lyr
Lyr,266.14,55.24,3,14Gam Lyr
Lyr,266.35,54.66,4.3,15Lam Lyr
,,,,
Cyg,275.49,49.18,3,6Bet1Cyg
Cyg,279.18,50.81,5,12Phi Cyg
Cyg,287.28,54.46,3.7,21Eta Cyg
Cyg,299.24,57.26,3,37Gam Cyg
Cyg,309.8,60.01,2,50Alp Cyg
Cyg,290.64,64.57,3,18Del Cyg
Cyg,293.05,69.66,4,13The Cyg
Cyg,292.47,71.56,3.7,10Iot2Cyg
Cyg,289.4,73.93,3.7,1Kap Cyg
Cyg,301.71,49.47,3,53Eps Cyg
Cyg,304.09,51.74,3.7,54Lam Cyg
Cyg,307.35,43.84,3,64Zet Cyg
Cyg,310.55,55.02,3.7,58Nu  Cyg
Cyg,315.23,56.66,3.7,62Xi  Cyg
Cyg,302.57,63.73,4,31    Cyg
Cyg,304.32,64.41,4,32    Cyg
Cyg,311.31,64.26,5,46Ome2Cyg
Cyg,312.67,50.5,3.7,65Tau Cyg
Cyg,314.72,51.57,3.7,67Sig Cyg
,,,,
Cas,9.34,44.58,3.7,17Zet Cas
Cas,12.05,46.5,3,18Alp Cas
Cas,14.1,47.41,4,24Eta Cas
Cas,18.2,48.65,2.7,27Gam Cas
Cas,22.02,46.32,3,37Del Cas
Cas,28.98,47.36,4,45Eps Cas
Cas,36.44,48.74,4,Iot Cas
Cas,15.92,43.02,4,33The Cas
Cas,19.76,44.92,5,34Phi Cas
Cas,4.45,49.29,6,8Sig Cas
Cas,16.91,52.11,4.3,15Kap Cas
Cas,9.21,51.32,3,11Bet Cas
Cas,5.4,51.04,6,7Rho Cas
,,,,
Per,28.4,40.17,8,
Per,32.87,37.28,4,15Eta Per
Per,34.19,34.32,3.3,23Gam Per
Per,28.66,31.52,4,13The Per
Per,32.08,34.16,4,18Tau Per
Per,32.72,30.67,4,Iot Per
Per,36.22,29.92,2,33Alp Per
Per,36.74,27.82,4,35Sig Per
Per,37.88,27.77,4,37Psi Per
Per,38.93,27.1,3,39Del Per
Per,31.77,25.97,4,27Kap Per
Per,30.3,22.22,2,26Bet Per
Per,30.51,20.76,4,28Ome Per
Per,28.99,20.44,4,25Rho Per
Per,28.04,21.55,4,22Pi  Per
Per,45.92,28.25,4,
Per,43.89,28.67,4,47Lam Per
Per,43.61,26.02,4,48    Per
Per,44.91,26.48,4,51Mu  Per
Per,45.73,24.4,5,53    Per
Per,47.69,18.78,5,58    Per
Per,37.96,21.93,3.7,41Nu  Per
Per,39.79,18.9,3,45Eps Per
Per,39.08,14.72,4,46Xi  Per
Per,35.25,11.97,3.3,38Omi Per
Per,37.23,11.12,2.7,44Zet Per
Per,43.25,18.71,5,52    Per
Per,46.45,31.51,5,
Per,25.89,20.83,7,16    Per
,,,,
Aur,63.95,30.67,4,33Del Aur
Aur,63.23,32.02,4,30Xi  Aur
Aur,55.93,22.84,1,13Alp Aur
Aur,64.02,21.26,2,34Bet Aur
Aur,62.36,15.48,4,32Nu  Aur
Aur,64,13.56,3.7,37The Aur
Aur,52.94,20.7,3.7,7Eps Aur
Aur,53.53,18.08,3.7,10Eta Aur
Aur,52.73,17.97,4,8Zet Aur
Aur,50.73,10.22,3.3,3Iot Aur
Aur,56.65,5.23,2.7,112Bet Tau
Aur,58.25,8.65,5,25Chi Aur
Aur,57.3,11,5,24Phi Aur
Aur,54.6,9.36,6,14    Aur
,,,,
Oph,236.43,36.19,2.7,55Alp Oph
Oph,239.44,28.1,3.7,60Bet Oph
Oph,240.72,26.4,4,62Gam Oph
Oph,224.7,32.76,4,25Iot Oph
Oph,226.03,32.1,4,27Kap Oph
Oph,219.64,23.82,4,10Lam Oph
Oph,216.36,17.54,3,1Del Oph
Oph,217.52,16.63,3,2Eps Oph
Oph,238.4,15.47,4,57Mu  Oph
Oph,243.84,13.97,4.3,64Nu  Oph
Oph,244.86,15.52,4,69Tau Oph
Oph,232.03,7.39,3,35Eta Oph
Oph,234.84,2.36,3.7,40Xi  Oph
Oph,234.3,-2.7,4,36    Oph
Oph,235.48,-1.59,3.7,42The Oph
Oph,236.41,-0.65,4,44    Oph
Oph,237.55,-0.43,5,51    Oph
Oph,240.28,1.97,5,58    Oph
Oph,223.29,11.61,3,13Zet Oph
Oph,222.76,5.45,4.7,8Phi Oph
Oph,222.06,3.47,5,7Chi Oph
Oph,221.64,1.81,4.7,4Psi Oph
Oph,223.7,0.64,5,9Ome Oph
Oph,222.52,-1.51,4,5Rho Oph
Oph,244.16,28.06,4,66    Oph
Oph,244.26,26.62,4,67    Oph
Oph,244.56,25,4,68    Oph
Oph,245.54,26.68,4,70    Oph
Oph,246.29,33.19,4,72    Oph
,,,,
Ser,201.16,38.32,4,21Iot Ser
Ser,203.5,40.19,4,38Rho Ser
Ser,206.36,35.99,3,41Gam Ser
Ser,203.87,34.53,3,28Bet Ser
